locus_tag	ID	Name	Dbxref	gbkey	gene	description
CCNA_02112	D-cysteine desulfhydrase;protein_id=YP_002517485.1;
CCNA_02419	TonB1 protein;protein_id=YP_002517792.1;
CCNA_00432	AsnC-family transcriptional regulator;protein_id=YP_002515807.1;
CCNA_03970	hypothetical protein;protein_id=YP_009020542.1;
CCNA_01822	melibiose carrier protein;protein_id=YP_002517195.1;
CCNA_01964	NADH dehydrogenase;protein_id=YP_002517337.1;
CCNA_00254	RarD family membrane permease;protein_id=YP_002515629.1;
CCNA_03298	TonB-dependent outer membrane receptor;protein_id=YP_002518670.3;
CCNA_01621	DNA-directed RNA polymerase omega chain;protein_id=YP_002516994.1;
CCNA_02925	carbamoyl-phosphate synthase small chain;protein_id=YP_002518298.1;
CCNA_01142	hypothetical protein;protein_id=YP_002516515.1;
CCNA_00648	nitrate response regulator NasT;protein_id=YP_002516021.1;
CCNA_01772	hypothetical protein;protein_id=YP_002517145.1;
CCNA_03038	pilus assembly ATPase CpaE;protein_id=YP_002518411.1;
CCNA_02742	hypothetical protein;protein_id=YP_002518115.1;
CCNA_01132	sensory transduction histidine kinase/receiver protein CckA;protein_id=YP_002516505.1;
CCNA_R0133	small non-coding RNA
CCNA_02111	pilF-related tetratricopeptide repeat protein;protein_id=YP_002517484.1;
CCNA_03340	TolR protein;protein_id=YP_002518712.1;
CCNA_01615	cell elongation specific D%2CD-transpeptidase;protein_id=YP_002516988.1;
CCNA_00939	MarR-family transcriptional regulator;protein_id=YP_002516312.1;
CCNA_00855	rhamnogalacturonan acetylesterase;protein_id=YP_002516228.1;
CCNA_01496	2-dehydro-3-deoxyphosphooctonate aldolase;protein_id=YP_002516869.1;
CCNA_02464	UDP-glucose 6-dehydrogenase;protein_id=YP_002517837.1;
CCNA_01319	SSU ribosomal protein S14P;protein_id=YP_002516692.1;
CCNA_03289	HicB-family RNA-binding protein;protein_id=YP_002518661.1;
CCNA_01236	general stress protein GsiB;protein_id=YP_002516609.1;
CCNA_03020	phosphatidylinositol-specific phospholipase C1-like protein;protein_id=YP_002518393.1;
CCNA_01422	N utilization substance protein B NusB;protein_id=YP_002516795.1;
CCNA_00915	Molybdenum cofactor sulfurase related protein;protein_id=YP_002516288.2;
CCNA_02963	hypothetical protein;protein_id=YP_002518336.1;
CCNA_00708	cobaltochelatase cobT subunit;protein_id=YP_002516081.1;
CCNA_01624	orotate phosphoribosyltransferase;protein_id=YP_002516997.1;
CCNA_00510	carboxymethylenebutenolidase;protein_id=YP_002515883.1;
CCNA_01409	delta-aminolevulinic acid dehydratase;protein_id=YP_002516782.1;
CCNA_02327	ABC transporter permease protein;protein_id=YP_002517700.1;
CCNA_00924	MarR/EmrR family transcriptional regulator;protein_id=YP_002516297.1;
CCNA_02237	Xaa-pro dipeptidyl-peptidase;protein_id=YP_002517610.1;
CCNA_03918	hypothetical protein;protein_id=YP_009020489.1;
CCNA_01138	hypothetical protein;protein_id=YP_002516511.1;
CCNA_03734	glutamine-dependent NAD synthetase;protein_id=YP_002519107.1;
CCNA_01669	sulfate transport system permease protein cysW;protein_id=YP_002517042.1;
CCNA_02545	alkaline phosphatase;protein_id=YP_002517918.2;
CCNA_03416	ADP-heptose:LPS heptosyltransferase;protein_id=YP_002518789.1;
CCNA_01751	aminodeoxychorismate lyase;protein_id=YP_002517124.1;
CCNA_03802	serine protease%2C peptidase family S9A;protein_id=YP_002519175.1;
CCNA_00349	integrase/recombinase%2C XerC-CodV family;protein_id=YP_002515724.1;
CCNA_00719	type I secretion adaptor protein hlyD;protein_id=YP_002516092.1;
CCNA_02578	TetR-family transcriptional regulator;protein_id=YP_002517951.2;
CCNA_01865	periplasmic multidrug efflux lipoprotein precursor;protein_id=YP_002517238.1;
CCNA_00571	phosphoenolpyruvate-protein phosphotransferase/phosphocarrier protein HPr/PTS system%2C glucose-specific IIA subunit;protein_id=YP_002515944.1;
CCNA_00518	LSU ribosomal protein L25P;protein_id=YP_002515891.1;
CCNA_00631	chemotaxis protein cheW;protein_id=YP_002516004.1;
CCNA_01619	NYN domain protein;protein_id=YP_002516992.1;
CCNA_01823	hypothetical protein;protein_id=YP_002517196.1;
CCNA_03177	methylmalonyl-CoA mutase MeaA-like protein;protein_id=YP_002518550.1;
CCNA_R0153	small non-coding RNA
CCNA_00095	quinone oxidoreductase;protein_id=YP_002515470.1;
CCNA_03804	hypothetical protein;protein_id=YP_002519177.3;
CCNA_03167	hypothetical protein;protein_id=YP_002518540.1;
CCNA_02245	DnaJ domain protein;protein_id=YP_002517618.1;
CCNA_02421	TonB accessory protein exbB;protein_id=YP_002517794.1;
CCNA_02207	hypothetical protein;protein_id=YP_002517580.1;
CCNA_03089	hypothetical protein;protein_id=YP_002518462.1;
CCNA_02305	chorismate mutase-family protein;protein_id=YP_002517678.2;
CCNA_02063	beta-barrel assembly machine (BAM) protein BamD;protein_id=YP_002517436.1;
CCNA_02238	hypothetical protein;protein_id=YP_002517611.1;
CCNA_02152	phosphoglycerate mutase;protein_id=YP_002517525.1;
CCNA_02302	1-acyl-sn-glycerol-3-phosphate acyltransferase;protein_id=YP_002517675.1;
CCNA_03338	TolB protein;protein_id=YP_002518710.1;
CCNA_01923	ATP-dependent RNA helicase;protein_id=YP_002517296.1;
CCNA_00069	O-sialoglycoprotein endopeptidase;protein_id=YP_002515444.1;
CCNA_03274	hypothetical protein;protein_id=YP_002518646.1;
CCNA_00009	alkylated DNA repair protein AlkB;protein_id=YP_002515384.1;
CCNA_02596	SSU ribosomal protein S4P;protein_id=YP_002517969.1;
CCNA_01556	LacI-family transcriptional regulator;protein_id=YP_002516929.1;
CCNA_00653	assimilatory nitrate reductase catalytic subunit;protein_id=YP_002516026.1;
CCNA_00842	hypothetical protein;protein_id=YP_002516215.1;
CCNA_02526	dihydroorotase;protein_id=YP_002517899.1;
CCNA_00938	acetyl-CoA acetyltransferase;protein_id=YP_002516311.1;
CCNA_00277	succinyl-diaminopimelate desuccinylase;protein_id=YP_002515652.1;
CCNA_01693	LysR-family transcriptional regulator;protein_id=YP_002517066.1;
CCNA_01651	DNA gyrase subunit A;protein_id=YP_002517024.1;
CCNA_01275	bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase;protein_id=YP_002516648.1;
CCNA_03186	hypothetical protein;protein_id=YP_002518559.1;
CCNA_03556	multidrug efflux system protein;protein_id=YP_002518929.2;
CCNA_03530	hypothetical protein;protein_id=YP_002518903.1;
CCNA_00664	C4-dicarboxylate transport protein;protein_id=YP_002516037.2;
CCNA_00973	putative phosphatase;protein_id=YP_002516346.1;
CCNA_02989	hypothetical protein;protein_id=YP_002518362.1;
CCNA_00533	secreted polysaccharide polymerase hfsI;protein_id=YP_002515906.1;
CCNA_00502	glycosyl transferase family protein;protein_id=YP_002515875.1;
CCNA_01807	acyl-acyl carrier protein synthetase;protein_id=YP_002517180.1;
CCNA_01608	TetR-family transcriptional regulator;protein_id=YP_002516981.1;
CCNA_00615	TonB-dependent receptor;protein_id=YP_002515988.1;
CCNA_01855	iron/manganese superoxide dismutase;protein_id=YP_002517228.1;
CCNA_01570	penicillin-binding protein;protein_id=YP_002516943.1;
CCNA_01879	NADH:flavin oxidoreductases%2C old yellow enzyme family;protein_id=YP_002517252.1;
CCNA_00375	hypothetical protein;protein_id=YP_002515750.1;
CCNA_03879	uroporphyrinogen decarboxylase;protein_id=YP_002519252.2;
CCNA_00091	transporter%2C drug/metabolite exporter family;protein_id=YP_002515466.1;
CCNA_01327	adenylate kinase/nucleoside-diphosphate kinase;protein_id=YP_002516700.1;
CCNA_01696	aminobenzoyl-glutamate transport protein;protein_id=YP_002517069.1;
CCNA_01659	queuine tRNA-ribosyltransferase;protein_id=YP_002517032.1;
CCNA_02153	acetylspermidine deacetylase;protein_id=YP_002517526.1;
CCNA_00811	TetR-family transcriptional regulator;protein_id=YP_002516184.2;
CCNA_00183	type II secretory pathway%2C prepilin signal peptidase;protein_id=YP_002515558.1;
CCNA_03372	bacterioferritin-associated ferredoxin;protein_id=YP_002518745.1;
CCNA_00182	type II secretion pathway protein N;protein_id=YP_002515557.1;
CCNA_01499	acetyl-CoA acetyltransferase;protein_id=YP_002516872.1;
CCNA_02476	vanillate demethylase oxygenase subunit A vanA;protein_id=YP_002517849.1;
CCNA_01305	SSU ribosomal protein S10P;protein_id=YP_002516678.1;
CCNA_01900	thymidylate kinase;protein_id=YP_002517273.1;
CCNA_01220	7-keto-8-aminopelargonate synthetase;protein_id=YP_002516593.1;
CCNA_00564	sensory transduction protein kinase CenK;protein_id=YP_002515937.1;
CCNA_00304	3-deoxy-D-manno-octulosonic-acid transferase;protein_id=YP_002515679.3;
CCNA_03677	CoA-transferase family III protein;protein_id=YP_002519050.2;
CCNA_03085	nitropropane dioxygenase/trans-enoyl-CoA reductase family;protein_id=YP_002518458.1;
CCNA_03791	MarR-family transcriptional regulator;protein_id=YP_002519164.1;
CCNA_00018	molybdenum cofactor biosynthesis protein A;protein_id=YP_002515393.1;
CCNA_01841	isocitrate lyase;protein_id=YP_002517214.1;
CCNA_01635	DNA repair protein recO;protein_id=YP_002517008.1;
CCNA_02033	NADH-quinone oxidoreductase chain A;protein_id=YP_002517406.1;
CCNA_01344	hypothetical protein;protein_id=YP_002516717.1;
CCNA_01431	fatty acid/phospholipid synthesis protein plsX;protein_id=YP_002516804.4;
CCNA_03455	GT1-family glycosyltransferase;protein_id=YP_002518828.1;
CCNA_00474	DNA relaxase/conjugal transfer nickase-helicase trwC;protein_id=YP_002515847.1;
CCNA_01531	acetyltransferase;protein_id=YP_002516904.1;
CCNA_02015	NADH-quinone oxidoreductase chain N;protein_id=YP_002517388.1;
CCNA_01605	NADPH-dependent FMN reductase family protein;protein_id=YP_002516978.1;
CCNA_00679	transposase%2C IS116/IS110/IS902 family;protein_id=YP_002516052.1;
CCNA_03185	glutathione S-transferase;protein_id=YP_002518558.1;
CCNA_03749	2-hydroxy-6-oxo-6-phenylhexa-2%2C4-dienoate hydrolase;protein_id=YP_002519122.1;
CCNA_01691	tRNA/rRNA methyltransferase;protein_id=YP_002517064.1;
CCNA_01931	TetR-family transcriptional regulator;protein_id=YP_002517304.1;
CCNA_03535	fatty acid desaturase;protein_id=YP_002518908.2;
CCNA_02729	oligopeptide transporter;protein_id=YP_002518102.1;
CCNA_03504	acyl-CoA dehydrogenase;protein_id=YP_002518877.1;
CCNA_01039	putative hexuronate transporter%2C major facilitator superfamily;protein_id=YP_002516412.1;
CCNA_03173	hydrophobic ligand-binding SRPBCC domain protein;protein_id=YP_002518546.1;
CCNA_00377	chromosome partition protein Smc;protein_id=YP_002515752.1;
CCNA_00142	endonuclease;protein_id=YP_002515517.1;
CCNA_00527	hypothetical protein;protein_id=YP_002515900.1;
CCNA_03256	chorismate synthase;protein_id=YP_002518629.1;
CCNA_01514	C4-dicarboxylate transport system%2C small permease component;protein_id=YP_002516887.1;
CCNA_01788	hypothetical protein;protein_id=YP_002517161.1;
CCNA_02066	phytoene/squalene synthase family protein;protein_id=YP_002517439.1;
CCNA_01103	ADP-heptose--LPS heptosyltransferase;protein_id=YP_002516476.1;
CCNA_02473	cobalt-zinc-cadmium resistance protein czcA;protein_id=YP_002517846.3;
CCNA_R0049	tmRNA ssrA acceptor RNA 5 fragment
CCNA_00372	gene392	CCNA_00372	GeneID:7331071	Gene	NA	ATP synthase C chain;protein_id=YP_002515747.1;
CCNA_00373	gene393	CCNA_00373	GeneID:7331072	Gene	NA	ATP synthase A chain;protein_id=YP_002515748.1;
CCNA_00374	gene394	CCNA_00374	GeneID:7331073	Gene	NA	putative ATP synthase protein I;protein_id=YP_002515749.1;
CCNA_00375	gene395	CCNA_00375	GeneID:7331074	Gene	NA	NA
CCNA_00376	gene396	CCNA_00376	GeneID:7331075	Gene	NA	putative membrane spanning protein;protein_id=YP_002515751.2;
CCNA_00377	gene397	smc	GeneID:7331076	Gene	smc	NA
CCNA_00378	gene398	CCNA_00378	GeneID:7331077	Gene	NA	thiol:disulfide interchange protein dsbA;protein_id=YP_002515753.1;
CCNA_00379	gene399	CCNA_00379	GeneID:7331078	Gene	NA	thiol:disulfide interchange protein dsbA;protein_id=YP_002515754.1;
CCNA_00380	gene401	CCNA_00380	GeneID:7331079	Gene	NA	NA
CCNA_00381	gene402	CCNA_00381	GeneID:7331080	Gene	NA	A/G-specific adenine DNA glycosylase;protein_id=YP_002515756.1;
CCNA_00382	gene403	ccrM	GeneID:7331081	Gene	ccrM	adenine-specific methyltransferase ccrM;protein_id=YP_002515757.1;
CCNA_00383	gene404	CCNA_00383	GeneID:7331082	Gene	NA	ribonuclease HII;protein_id=YP_002515758.1;
CCNA_00384	gene405	CCNA_00384	GeneID:7331083	Gene	NA	NA
CCNA_00385	gene406	CCNA_00385	GeneID:7331084	Gene	NA	NA
CCNA_00386	gene407	CCNA_00386	GeneID:7331085	Gene	NA	DNA-3-methyladenine glycosylase;protein_id=YP_002515761.1;
CCNA_00387	gene408	CCNA_00387	GeneID:7331086	Gene	NA	hypothetical protein;protein_id=YP_002515762.2;
CCNA_00388	gene409	CCNA_00388	GeneID:7331087	Gene	NA	esterase lipase Family protein;protein_id=YP_002515763.1;
CCNA_00389	gene410	CCNA_00389	GeneID:7331088	Gene	NA	aminomethyltransferase family protein;protein_id=YP_002515764.2;
CCNA_00390	gene411	CCNA_00390	GeneID:7331089	Gene	NA	NA
CCNA_00391	gene412	CCNA_00391	GeneID:7331090	Gene	NA	hypothetical protein;protein_id=YP_002515766.1;
CCNA_00392	gene413	CCNA_00392	GeneID:7331091	Gene	NA	NA
CCNA_00393	gene414	CCNA_00393	GeneID:7331092	Gene	NA	NA
CCNA_00394	gene415	CCNA_00394	GeneID:7331093	Gene	NA	YCII-related domain protein;protein_id=YP_002515769.2;
CCNA_00395	gene416	CCNA_00395	GeneID:7331094	Gene	NA	feruloyl-CoA synthetase;protein_id=YP_002515770.1;
CCNA_00396	gene417	CCNA_00396	GeneID:7331095	Gene	NA	hypothetical protein;protein_id=YP_002515771.1;
CCNA_00397	gene418	CCNA_00397	GeneID:7331096	Gene	NA	acetolactate synthase;protein_id=YP_002515772.1;
CCNA_00398	gene419	CCNA_00398	GeneID:7331097	Gene	NA	NA
CCNA_00399	gene420	CCNA_00399	GeneID:7331098	Gene	NA	zinc metallohydrolase%2C glyoxalase II family;protein_id=YP_002515774.2;
CCNA_00400	gene421	CCNA_00400	GeneID:7331099	Gene	NA	NA
CCNA_00401	gene422	CCNA_00401	GeneID:7331100	Gene	NA	NA
CCNA_00402	gene423	CCNA_00402	GeneID:7331101	Gene	NA	hypothetical protein;protein_id=YP_002515777.1;
CCNA_00403	gene424	CCNA_00403	GeneID:7331102	Gene	NA	short chain dehydrogenase;protein_id=YP_002515778.1;
CCNA_00404	gene425	CCNA_00404	GeneID:7331103	Gene	NA	hypothetical protein;protein_id=YP_002515779.1;
CCNA_00405	gene426	CCNA_00405	GeneID:7331104	Gene	NA	NA
CCNA_00406	gene428	tfoX	GeneID:7331105	Gene	tfoX	DNA transformation protein tfoX;protein_id=YP_002515781.2;
CCNA_00407	gene429	tfoX	GeneID:7331106	Gene	tfoX	acetyltransferase;protein_id=YP_002515782.2;
CCNA_00408	gene430	CCNA_00408	GeneID:7331107	Gene	NA	antiporter protein;protein_id=YP_002515783.2;
CCNA_00409	gene431	CCNA_00409	GeneID:7332425	Gene	NA	hypothetical protein;protein_id=YP_002515784.2;
CCNA_00410	gene432	CCNA_00410	GeneID:7330537	Gene	NA	NA
CCNA_00411	gene433	CCNA_00411	GeneID:7330538	Gene	NA	NA
CCNA_00412	gene434	CCNA_00412	GeneID:7330539	Gene	NA	NA
CCNA_00413	gene435	CCNA_00413	GeneID:7330540	Gene	NA	poly(A) polymerase/tRNA-nucleotidyltransferase;protein_id=YP_002515788.4;
CCNA_00414	gene436	CCNA_00414	GeneID:7330541	Gene	NA	NA
CCNA_00415	gene437	CCNA_00415	GeneID:7330542	Gene	NA	hypothetical protein;protein_id=YP_002515790.2;
CCNA_00416	gene438	CCNA_00416	GeneID:7330543	Gene	NA	hypothetical protein;protein_id=YP_002515791.1;
CCNA_00417	gene439	CCNA_00417	GeneID:7330544	Gene	NA	hypothetical protein;protein_id=YP_002515792.2;
CCNA_00419	gene440	CCNA_00419	GeneID:7330546	Gene	NA	NA
CCNA_00420	gene441	CCNA_00420	GeneID:7330547	Gene	NA	NA
CCNA_00421	gene442	CCNA_00421	GeneID:7330548	Gene	NA	dihydroneopterin aldolase;protein_id=YP_002515796.4;
CCNA_00422	gene443	CCNA_00422	GeneID:7330549	Gene	NA	SDR pteridine reductase;protein_id=YP_002515797.1;
CCNA_00423	gene445	CCNA_00423	GeneID:7330550	Gene	NA	phosphohydrolase%2C MutT-nudix family;protein_id=YP_002515798.1;
CCNA_00424	gene446	CCNA_00424	GeneID:7330551	Gene	NA	aldehyde dehydrogenase;protein_id=YP_002515799.1;
CCNA_00425	gene447	CCNA_00425	GeneID:7330552	Gene	NA	hypothetical protein;protein_id=YP_002515800.1;
CCNA_00426	gene448	CCNA_00426	GeneID:7330553	Gene	NA	very-short-patch-repair endonuclease;protein_id=YP_002515801.1;
CCNA_00427	gene449	CCNA_00427	GeneID:7330554	Gene	NA	hypothetical protein;protein_id=YP_002515802.1;
CCNA_00428	gene450	CCNA_00428	GeneID:7330555	Gene	NA	hypothetical protein;protein_id=YP_002515803.1;
CCNA_00429	gene451	CCNA_00429	GeneID:7330556	Gene	NA	hypothetical protein;protein_id=YP_002515804.1;
CCNA_00430	gene452	CCNA_00430	GeneID:7330557	Gene	NA	hypothetical protein;protein_id=YP_002515805.1;
CCNA_00431	gene453	CCNA_00431	GeneID:7330558	Gene	NA	NA
CCNA_00432	gene454	CCNA_00432	GeneID:7330559	Gene	NA	NA
CCNA_00433	gene455	CCNA_00433	GeneID:7330560	Gene	NA	type 1 capsular polysaccharide biosynthesis protein J;protein_id=YP_002515808.1;
CCNA_00434	gene456	CCNA_00434	GeneID:7330561	Gene	NA	conserved membrane-spanning protein;protein_id=YP_002515809.1;
CCNA_00435	gene457	CCNA_00435	GeneID:7330562	Gene	NA	amino acid transporter;protein_id=YP_002515810.2;
CCNA_00436	gene458	CCNA_00436	GeneID:7330563	Gene	NA	acyl-CoA dehydrogenase%2C short-chain specific;protein_id=YP_002515811.1;
CCNA_00437	gene459	CCNA_00437	GeneID:7330564	Gene	NA	methyl-accepting chemotaxis protein;protein_id=YP_002515812.1;
CCNA_00438	gene460	CCNA_00438	GeneID:7330565	Gene	NA	hypothetical protein;protein_id=YP_002515813.2;
CCNA_00439	gene461	CCNA_00439	GeneID:7330566	Gene	NA	methyl-accepting chemotaxis protein;protein_id=YP_002515814.1;
CCNA_00440	gene462	CCNA_00440	GeneID:7330567	Gene	NA	STAS domain protein;protein_id=YP_002515815.2;
CCNA_00441	gene463	cheYI	GeneID:7330568	Gene	cheYI	chemotaxis receiver domain protein cheYI;protein_id=YP_002515816.1;
CCNA_00442	gene464	cheAI	GeneID:7330569	Gene	cheAI	chemotaxis histidine kinase protein cheAI;protein_id=YP_002515817.1;
CCNA_00443	gene465	CCNA_00443	GeneID:7330570	Gene	NA	chemotaxis protein cheW;protein_id=YP_002515818.1;
CCNA_00444	gene466	CCNA_00444	GeneID:7330571	Gene	NA	chemotaxis protein methyltransferase;protein_id=YP_002515819.1;
CCNA_00445	gene467	CCNA_00445	GeneID:7330572	Gene	NA	receiver domain-glutamate methylesterase cheBI;protein_id=YP_002515820.1;
CCNA_00446	gene468	CCNA_00446	GeneID:7330573	Gene	NA	chemotaxis receiver domain protein cheYII;protein_id=YP_002515821.1;
CCNA_00447	gene469	cheD	GeneID:7330574	Gene	cheD	chemotaxis protein cheD;protein_id=YP_002515822.1;
CCNA_00448	gene470	cheU	GeneID:7330575	Gene	cheU	cheU protein;protein_id=YP_002515823.1;
CCNA_00449	gene471	cheYIII	GeneID:7330576	Gene	cheYIII	cheYIII;protein_id=YP_002515824.1;
CCNA_00450	gene472	cheE	GeneID:7330577	Gene	cheE	cheE protein;protein_id=YP_002515825.1;
CCNA_00451	gene473	CCNA_00451	GeneID:7330578	Gene	NA	TonB-dependent receptor;protein_id=YP_002515826.1;
CCNA_00452	gene474	CCNA_00452	GeneID:7330579	Gene	NA	N-acetylglucosamine-6-phosphate deacetylase;protein_id=YP_002515827.1;
CCNA_00453	gene475	CCNA_00453	GeneID:7330580	Gene	NA	glucosamine-6-phosphate deaminase;protein_id=YP_002515828.1;
CCNA_00454	gene476	CCNA_00454	GeneID:7330581	Gene	NA	GntR-family transcriptional regulator;protein_id=YP_002515829.1;
CCNA_00455	gene478	nagA	GeneID:7330582	Gene	nagA	N-acetyl-glucosamine/N-acetyl-chitin oligosaccharide outer membrane transporter nagA;protein_id=YP_002515830.1;
CCNA_00456	gene480	CCNA_00456	GeneID:7330584	Gene	NA	beta-N-acetylhexosaminidase;protein_id=YP_002515831.1;
CCNA_00457	gene481	CCNA_00457	GeneID:7330585	Gene	NA	phosphoenolpyruvate-protein phosphotransferase/phosphocarrier protein HPr/PTS system%2C glucose-specific IIA subunit;protein_id=YP_002515832.1;
CCNA_00458	gene482	CCNA_00458	GeneID:7330586	Gene	NA	NA
CCNA_00459	gene483	nhaA	GeneID:7330587	Gene	nhaA	Na+/H+ antiporter nhaA;protein_id=YP_002515834.1;
CCNA_00460	gene485	CCNA_00460	GeneID:7330588	Gene	NA	hypothetical protein;protein_id=YP_002515835.1;
CCNA_00464	gene488	CCNA_00464	GeneID:7330591	Gene	NA	NA
CCNA_00465	gene489	CCNA_00465	GeneID:7330592	Gene	NA	UDP-galactopyranose mutase;protein_id=YP_002515838.3;
CCNA_00466	gene490	CCNA_00466	GeneID:7330593	Gene	NA	glycosyltransferase;protein_id=YP_002515839.1;
CCNA_00467	gene491	CCNA_00467	GeneID:7330594	Gene	NA	oligosaccharide translocase/flippase;protein_id=YP_002515840.1;
CCNA_00468	gene492	CCNA_00468	GeneID:7330595	Gene	NA	UDP glucuronic acid epimerase-related protein;protein_id=YP_002515841.1;
CCNA_00469	gene493	CCNA_00469	GeneID:7330596	Gene	NA	GT1-family glycosyltransferase;protein_id=YP_002515842.2;
CCNA_00470	gene495	CCNA_00470	GeneID:7330597	Gene	NA	O-antigen polymerase;protein_id=YP_002515843.1;
CCNA_00471	gene496	CCNA_00471	GeneID:7330598	Gene	NA	GDP-L-fucose synthase;protein_id=YP_002515844.1;
CCNA_00472	gene497	CCNA_00472	GeneID:7330599	Gene	NA	GDP-mannose 4%2C6 dehydratase;protein_id=YP_002515845.1;
CCNA_00473	gene498	CCNA_00473	GeneID:7330600	Gene	NA	hypothetical protein;protein_id=YP_002515846.1;
CCNA_00474	gene499	trwC	GeneID:7330601	Gene	trwC	NA
CCNA_00475	gene500	trwB	GeneID:7330602	Gene	trwB	bacterial conjugation protein%2C ATP binding domain trwB;protein_id=YP_002515848.1;
CCNA_00476	gene501	CCNA_00476	GeneID:7330603	Gene	NA	hypothetical protein;protein_id=YP_002515849.1;
CCNA_00477	gene502	CCNA_00477	GeneID:7330604	Gene	NA	excisionase;protein_id=YP_002515850.1;
CCNA_00478	gene503	CCNA_00478	GeneID:7330605	Gene	NA	hypothetical protein;protein_id=YP_002515851.1;
CCNA_00479	gene504	CCNA_00479	GeneID:7330606	Gene	NA	Helix-turn-helix DNA-binding protein;protein_id=YP_002515852.1;
CCNA_00480	gene505	CCNA_00480	GeneID:7330607	Gene	NA	bacteriophage P4 integrase;protein_id=YP_002515853.2;
CCNA_00481	gene506	CCNA_00481	GeneID:7330608	Gene	NA	HipB transcriptional regulator;protein_id=YP_002515854.3;
CCNA_00482	gene507	CCNA_00482	GeneID:7330609	Gene	NA	toxin protein module HipA;protein_id=YP_002515855.1;
CCNA_00483	gene509	CCNA_00483	GeneID:7330611	Gene	NA	Zn-dependent hydrolase%2C glyoxalase II family;protein_id=YP_002515856.1;
CCNA_00484	gene510	CCNA_00484	GeneID:7330612	Gene	NA	hypothetical protein;protein_id=YP_002515857.2;
CCNA_00485	gene511	CCNA_00485	GeneID:7330613	Gene	NA	NA
CCNA_00486	gene512	CCNA_00486	GeneID:7330614	Gene	NA	TonB-dependent receptor;protein_id=YP_002515859.1;
CCNA_00487	gene513	CCNA_00487	GeneID:7330615	Gene	NA	NA
CCNA_00488	gene514	CCNA_00488	GeneID:7330616	Gene	NA	amino acid efflux permease;protein_id=YP_002515861.1;
CCNA_00489	gene515	CCNA_00489	GeneID:7330617	Gene	NA	phosphoribosyl-AMP cyclohydrolase;protein_id=YP_002515862.1;
CCNA_00490	gene516	CCNA_00490	GeneID:7332180	Gene	NA	hypothetical protein;protein_id=YP_002515863.2;
CCNA_00491	gene517	CCNA_00491	GeneID:7332181	Gene	NA	GTP cyclohydrolase I;protein_id=YP_002515864.1;
CCNA_00492	gene518	CCNA_00492	GeneID:7332182	Gene	NA	NA
CCNA_00493	gene519	CCNA_00493	GeneID:7332183	Gene	NA	putative polyketide cyclase-dehydrase/lipid transport protein;protein_id=YP_002515866.1;
CCNA_00494	gene520	CCNA_00494	GeneID:7332184	Gene	NA	transport protein;protein_id=YP_002515867.1;
CCNA_00495	gene521	CCNA_00495	GeneID:7332185	Gene	NA	putative membrane protein insertion efficiency factor YidD;protein_id=YP_002515868.1;
CCNA_00496	gene522	CCNA_00496	GeneID:7332186	Gene	NA	threonyl-tRNA synthetase;protein_id=YP_002515869.1;
CCNA_00497	gene523	CCNA_00497	GeneID:7332187	Gene	NA	NA
CCNA_00498	gene524	CCNA_00498	GeneID:7332188	Gene	NA	hypothetical protein;protein_id=YP_002515871.1;
CCNA_00499	gene525	CCNA_00499	GeneID:7332189	Gene	NA	NA
CCNA_00500	gene526	CCNA_00500	GeneID:7332190	Gene	NA	hydroxymethylglutaryl-CoA lyase;protein_id=YP_002515873.1;
CCNA_00501	gene527	CCNA_00501	GeneID:7332191	Gene	NA	glucosyltransferase;protein_id=YP_002515874.1;
CCNA_00502	gene528	CCNA_00502	GeneID:7332192	Gene	NA	NA
CCNA_00503	gene529	CCNA_00503	GeneID:7332193	Gene	NA	NA
CCNA_00504	gene530	CCNA_00504	GeneID:7332194	Gene	NA	23S rRNA methyltransferase;protein_id=YP_002515877.1;
CCNA_00505	gene531	CCNA_00505	GeneID:7332195	Gene	NA	ubiquinol-cytochrome c reductase iron-sulfur subunit;protein_id=YP_002515878.1;
CCNA_00506	gene532	CCNA_00506	GeneID:7332196	Gene	NA	cytochrome b;protein_id=YP_002515879.1;
CCNA_00507	gene533	CCNA_00507	GeneID:7332197	Gene	NA	cytochrome c1;protein_id=YP_002515880.1;
CCNA_00508	gene534	CCNA_00508	GeneID:7332198	Gene	NA	aspartate protease;protein_id=YP_002515881.1;
CCNA_00509	gene535	CCNA_00509	GeneID:7332199	Gene	NA	phosphoglycerate mutase family;protein_id=YP_002515882.1;
CCNA_00510	gene536	CCNA_00510	GeneID:7332200	Gene	NA	NA
CCNA_00511	gene537	CCNA_00511	GeneID:7332201	Gene	NA	carboxymethylenebutenolidase;protein_id=YP_002515884.2;
CCNA_00512	gene538	CCNA_00512	GeneID:7332202	Gene	NA	GTP-binding protein%2C probable translation factor;protein_id=YP_002515885.1;
CCNA_00514	gene540	CCNA_00514	GeneID:7332204	Gene	NA	pirin;protein_id=YP_002515887.1;
CCNA_00515	gene541	CCNA_00515	GeneID:7332205	Gene	NA	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase;protein_id=YP_002515888.1;
CCNA_00516	gene542	CCNA_00516	GeneID:7332206	Gene	NA	NA
CCNA_00517	gene543	CCNA_00517	GeneID:7332207	Gene	NA	peptidyl-tRNA hydrolase;protein_id=YP_002515890.1;
